countrycode,countryname,adminone,adminlevel,date,datatype,indicator_name,population,prevalence
ZWE,Zimbabwe,Harare,subnational,2025-01-08,SURVEY,total,2427209,0.4590193254072494
ZWE,Zimbabwe,Harare,subnational,2025-01-08,SURVEY,fcs,413552,0.1703817017817583
ZWE,Zimbabwe,Harare,subnational,2025-01-08,SURVEY,rcsi,1224298,0.5044056774674122
ZWE,Zimbabwe,Manicaland,subnational,2025-01-08,SURVEY,total,2037762,0.4590193254072494
ZWE,Zimbabwe,Manicaland,subnational,2025-01-08,SURVEY,fcs,662048,0.3248897565073841
ZWE,Zimbabwe,Manicaland,subnational,2025-01-08,SURVEY,rcsi,1250829,0.6138248725808019
ZWE,Zimbabwe,Mashonaland Central,subnational,2025-01-08,SURVEY,total,1384891,0.4590193254072494
ZWE,Zimbabwe,Mashonaland Central,subnational,2025-01-08,SURVEY,fcs,572982,0.4137379764905686
ZWE,Zimbabwe,Mashonaland Central,subnational,2025-01-08,SURVEY,rcsi,901219,0.6507508533162537
ZWE,Zimbabwe,Mashonaland East,subnational,2025-01-08,SURVEY,total,1731181,0.4590193254072494
ZWE,Zimbabwe,Mashonaland East,subnational,2025-01-08,SURVEY,fcs,580584,0.3353687453824874
ZWE,Zimbabwe,Mashonaland East,subnational,2025-01-08,SURVEY,rcsi,881730,0.5093228264404474
ZWE,Zimbabwe,Mashonaland West,subnational,2025-01-08,SURVEY,total,1893578,0.4590193254072494
ZWE,Zimbabwe,Mashonaland West,subnational,2025-01-08,SURVEY,fcs,463989,0.245032948207045
ZWE,Zimbabwe,Mashonaland West,subnational,2025-01-08,SURVEY,rcsi,1108803,0.585559718163181
ZWE,Zimbabwe,Masvingo,subnational,2025-01-08,SURVEY,total,1638539,0.4590193254072494
ZWE,Zimbabwe,Masvingo,subnational,2025-01-08,SURVEY,fcs,487270,0.2973807764111809
ZWE,Zimbabwe,Masvingo,subnational,2025-01-08,SURVEY,rcsi,1078648,0.6582986428763673
ZWE,Zimbabwe,Matabeleland North,subnational,2025-01-08,SURVEY,total,827626,0.4590193254072494
ZWE,Zimbabwe,Matabeleland North,subnational,2025-01-08,SURVEY,fcs,349506,0.4222994444350467
ZWE,Zimbabwe,Matabeleland North,subnational,2025-01-08,SURVEY,rcsi,515806,0.6232356160874598
ZWE,Zimbabwe,Matabeleland South,subnational,2025-01-08,SURVEY,total,760345,0.4590193254072494
ZWE,Zimbabwe,Matabeleland South,subnational,2025-01-08,SURVEY,fcs,264194,0.3474659529555662
ZWE,Zimbabwe,Matabeleland South,subnational,2025-01-08,SURVEY,rcsi,358485,0.4714767638374685
ZWE,Zimbabwe,Midlands,subnational,2025-01-08,SURVEY,total,1811908,0.4590193254072494
ZWE,Zimbabwe,Midlands,subnational,2025-01-08,SURVEY,fcs,584170,0.3224059941233219
ZWE,Zimbabwe,Midlands,subnational,2025-01-08,SURVEY,rcsi,1140306,0.6293399002598365
ZWE,Zimbabwe,Bulawayo,subnational,2025-01-07,SURVEY,total,665940,0.4590193254072494
ZWE,Zimbabwe,Bulawayo,subnational,2025-01-07,SURVEY,fcs,69061,0.1037045379463615
ZWE,Zimbabwe,Bulawayo,subnational,2025-01-07,SURVEY,rcsi,279751,0.4200843919872661
ZWE,Zimbabwe,Harare,subnational,2025-01-07,SURVEY,total,2427209,0.4590193254072494
ZWE,Zimbabwe,Harare,subnational,2025-01-07,SURVEY,fcs,396433,0.1633287450730448
ZWE,Zimbabwe,Harare,subnational,2025-01-07,SURVEY,rcsi,1294044,0.5331407390134101
ZWE,Zimbabwe,Manicaland,subnational,2025-01-07,SURVEY,total,2037762,0.4590193254072494
ZWE,Zimbabwe,Manicaland,subnational,2025-01-07,SURVEY,fcs,668956,0.3282797500395041
ZWE,Zimbabwe,Manicaland,subnational,2025-01-07,SURVEY,rcsi,1265452,0.6210008823405285
ZWE,Zimbabwe,Mashonaland Central,subnational,2025-01-07,SURVEY,total,1384891,0.4590193254072494
ZWE,Zimbabwe,Mashonaland Central,subnational,2025-01-07,SURVEY,fcs,573091,0.4138166830458137
ZWE,Zimbabwe,Mashonaland Central,subnational,2025-01-07,SURVEY,rcsi,901640,0.651054848359907
ZWE,Zimbabwe,Mashonaland East,subnational,2025-01-07,SURVEY,total,1731181,0.4590193254072494
ZWE,Zimbabwe,Mashonaland East,subnational,2025-01-07,SURVEY,fcs,589011,0.3402365206180058
ZWE,Zimbabwe,Mashonaland East,subnational,2025-01-07,SURVEY,rcsi,894231,0.5165439084647995
ZWE,Zimbabwe,Mashonaland West,subnational,2025-01-07,SURVEY,total,1893578,0.4590193254072494
ZWE,Zimbabwe,Mashonaland West,subnational,2025-01-07,SURVEY,fcs,479366,0.253153553748512
ZWE,Zimbabwe,Mashonaland West,subnational,2025-01-07,SURVEY,rcsi,1084122,0.5725256630569219
